# Time;running vehicles [#];avg. speed [m/s];avg. trip speed [m/s]
877.00;64.00;12.70;11.16
878.00;64.00;13.08;11.16
879.00;64.00;13.62;11.16
880.00;64.00;13.92;11.16
881.00;64.00;13.82;11.16
882.00;63.00;13.53;11.16
883.00;64.00;13.10;11.16
884.00;64.00;12.93;11.16
885.00;63.00;13.04;11.17
886.00;63.00;13.24;11.17
887.00;64.00;13.33;11.17
888.00;64.00;13.50;11.17
889.00;64.00;13.32;11.17
890.00;64.00;13.07;11.17
891.00;66.00;12.71;11.17
892.00;67.00;12.49;11.17
893.00;66.00;12.64;11.18
894.00;65.00;12.62;11.18
895.00;64.00;12.54;11.19
896.00;64.00;12.66;11.19
897.00;64.00;12.88;11.19
898.00;63.00;13.44;11.19
899.00;63.00;13.64;11.19
900.00;63.00;13.79;11.19
901.00;63.00;13.76;11.19
902.00;60.00;13.33;11.21
903.00;61.00;12.86;11.21
904.00;61.00;12.78;11.21
905.00;61.00;12.36;11.21
906.00;61.00;11.86;11.21
907.00;61.00;11.88;11.21
908.00;62.00;11.84;11.21
909.00;62.00;12.08;11.21
910.00;62.00;12.38;11.21
911.00;62.00;12.60;11.21
912.00;63.00;12.73;11.21
913.00;63.00;12.75;11.21
914.00;62.00;12.83;11.22
915.00;62.00;12.74;11.22
916.00;64.00;12.20;11.22
917.00;64.00;12.36;11.22
918.00;64.00;12.64;11.22
919.00;64.00;12.62;11.24
920.00;65.00;12.29;11.24
921.00;65.00;12.40;11.24
922.00;66.00;12.08;11.24
923.00;66.00;11.93;11.24
924.00;67.00;11.83;11.24
925.00;66.00;11.72;11.27
926.00;67.00;11.56;11.27
927.00;67.00;11.68;11.27
928.00;68.00;11.70;11.27
929.00;68.00;11.91;11.27
930.00;68.00;12.03;11.27
931.00;69.00;12.16;11.27
932.00;71.00;11.78;11.27
933.00;71.00;11.69;11.27
934.00;71.00;11.58;11.27
935.00;72.00;11.43;11.27
936.00;71.00;11.51;11.27
937.00;72.00;11.83;11.27
938.00;72.00;12.25;11.27
939.00;72.00;12.37;11.27
940.00;72.00;12.69;11.27
941.00;72.00;12.45;11.27
942.00;73.00;12.18;11.27
943.00;73.00;12.04;11.26
944.00;73.00;12.16;11.26
945.00;73.00;12.11;11.25
946.00;73.00;12.05;11.25
947.00;72.00;12.02;11.25
948.00;73.00;12.04;11.25
949.00;73.00;12.32;11.25
950.00;73.00;12.31;11.25
951.00;73.00;12.62;11.25
952.00;73.00;12.41;11.24
953.00;73.00;12.51;11.24
954.00;73.00;12.48;11.24
955.00;72.00;12.43;11.23
956.00;72.00;12.37;11.23
957.00;73.00;11.99;11.26
958.00;72.00;12.09;11.25
959.00;72.00;12.21;11.25
960.00;72.00;12.21;11.25
961.00;72.00;12.19;11.25
962.00;72.00;11.83;11.25
963.00;71.00;11.62;11.25
964.00;72.00;11.43;11.25
965.00;71.00;11.36;11.26
966.00;71.00;11.53;11.26
967.00;71.00;11.48;11.26
968.00;71.00;11.56;11.26
969.00;69.00;11.50;11.27
970.00;69.00;11.73;11.27
971.00;69.00;11.91;11.27
972.00;68.00;11.79;11.27
973.00;68.00;11.46;11.28
974.00;67.00;11.63;11.28
975.00;67.00;11.77;11.31
976.00;67.00;11.88;11.31
977.00;65.00;12.13;11.31
978.00;65.00;12.21;11.31
979.00;66.00;12.17;11.31
980.00;64.00;12.43;11.33
981.00;64.00;12.94;11.33
982.00;64.00;13.01;11.33
983.00;64.00;13.02;11.33
984.00;64.00;13.22;11.33
985.00;63.00;12.77;11.33
986.00;63.00;12.63;11.33
987.00;62.00;12.58;11.33
988.00;62.00;12.50;11.33
989.00;62.00;12.38;11.33
990.00;62.00;12.36;11.33
991.00;61.00;12.43;11.33
992.00;61.00;12.52;11.33
993.00;60.00;12.44;11.33
994.00;60.00;12.23;11.33
995.00;61.00;12.07;11.33
996.00;60.00;11.94;11.32
997.00;60.00;11.60;11.32
998.00;59.00;11.45;11.32
999.00;59.00;11.30;11.32
1000.00;59.00;11.06;11.32
1001.00;60.00;10.69;11.32
1002.00;60.00;10.64;11.32
1003.00;59.00;10.90;11.32
1004.00;60.00;11.24;11.32
1005.00;59.00;11.86;11.32
1006.00;59.00;12.57;11.32
1007.00;59.00;12.85;11.32
1008.00;58.00;13.41;11.33
1009.00;57.00;13.45;11.33
1010.00;57.00;13.49;11.33
1011.00;57.00;13.46;11.33
1012.00;56.00;13.66;11.33
1013.00;54.00;13.70;11.32
1014.00;54.00;13.55;11.32
1015.00;53.00;12.84;11.32
1016.00;54.00;12.14;11.32
1017.00;54.00;12.15;11.32
1018.00;53.00;12.11;11.32
1019.00;52.00;12.04;11.32
1020.00;53.00;11.99;11.32
1021.00;54.00;12.32;11.32
1022.00;52.00;12.48;11.32
1023.00;51.00;12.81;11.32
1024.00;51.00;13.15;11.32
1025.00;51.00;13.02;11.33
1026.00;51.00;13.03;11.33
1027.00;51.00;12.69;11.33
1028.00;52.00;12.18;11.33
1029.00;52.00;12.08;11.33
1030.00;51.00;12.29;11.33
1031.00;50.00;11.88;11.35
1032.00;50.00;11.81;11.35
1033.00;51.00;11.46;11.35
1034.00;52.00;11.41;11.35
1035.00;54.00;11.11;11.35
1036.00;53.00;11.16;11.35
1037.00;53.00;11.12;11.37
1038.00;52.00;11.69;11.38
1039.00;51.00;12.11;11.37
1040.00;51.00;11.99;11.37
1041.00;51.00;12.01;11.37
1042.00;53.00;11.28;11.37
1043.00;54.00;10.83;11.37
1044.00;54.00;10.95;11.37
1045.00;54.00;11.41;11.37
1046.00;54.00;11.80;11.37
1047.00;54.00;12.14;11.37
1048.00;54.00;12.36;11.37
1049.00;54.00;12.44;11.37
1050.00;54.00;12.82;11.37
1051.00;53.00;13.01;11.37
1052.00;53.00;13.02;11.38
1053.00;53.00;13.19;11.38
1054.00;53.00;13.08;11.38
1055.00;53.00;12.76;11.38
1056.00;52.00;12.26;11.38
1057.00;53.00;11.89;11.38
1058.00;52.00;11.64;11.40
1059.00;53.00;11.56;11.40
1060.00;53.00;11.66;11.40
1061.00;53.00;11.62;11.40
1062.00;53.00;11.34;11.40
1063.00;53.00;11.35;11.40
1064.00;53.00;11.25;11.40
1065.00;53.00;11.31;11.40
1066.00;54.00;11.25;11.40
1067.00;54.00;11.42;11.40
1068.00;54.00;11.59;11.40
1069.00;54.00;11.87;11.40
1070.00;53.00;12.05;11.40
1071.00;52.00;11.94;11.40
1072.00;52.00;12.02;11.40
1073.00;51.00;12.00;11.40
1074.00;51.00;11.98;11.40
1075.00;50.00;11.96;11.39
1076.00;50.00;12.05;11.39
1077.00;54.00;11.58;11.39
1078.00;54.00;11.82;11.39
1079.00;55.00;11.15;11.39
1080.00;55.00;11.21;11.39
1081.00;54.00;11.17;11.40
1082.00;54.00;11.03;11.40
1083.00;53.00;11.04;11.40
1084.00;52.00;11.50;11.40
1085.00;53.00;11.30;11.40
1086.00;53.00;11.33;11.40
1087.00;54.00;11.56;11.40
1088.00;56.00;11.48;11.40
1089.00;57.00;11.58;11.40
1090.00;57.00;11.75;11.40
1091.00;57.00;11.76;11.40
1092.00;57.00;11.20;11.40
1093.00;58.00;11.16;11.40
1094.00;58.00;11.42;11.40
1095.00;58.00;11.80;11.40
1096.00;58.00;11.63;11.40
1097.00;58.00;11.74;11.40
1098.00;58.00;11.75;11.40
1099.00;58.00;12.09;11.40
1100.00;59.00;11.87;11.40
1101.00;59.00;12.14;11.40
1102.00;58.00;12.72;11.40
1103.00;58.00;12.79;11.40
1104.00;58.00;13.05;11.40
1105.00;57.00;13.25;11.40
1106.00;57.00;13.32;11.40
1107.00;58.00;12.84;11.42
1108.00;57.00;12.93;11.42
1109.00;57.00;13.09;11.42
1110.00;55.00;12.92;11.41
1111.00;55.00;12.93;11.41
1112.00;55.00;12.69;11.41
1113.00;57.00;11.93;11.41
1114.00;58.00;11.42;11.42
1115.00;57.00;11.68;11.42
1116.00;57.00;11.89;11.42
1117.00;58.00;11.76;11.42
1118.00;58.00;11.94;11.42
1119.00;58.00;12.18;11.42
1120.00;58.00;12.06;11.42
1121.00;59.00;11.77;11.42
1122.00;60.00;11.30;11.42
1123.00;60.00;11.24;11.42
1124.00;60.00;11.29;11.42
1125.00;60.00;10.96;11.42
1126.00;60.00;10.73;11.42
1127.00;58.00;10.60;11.41
1128.00;58.00;10.46;11.41
1129.00;58.00;10.39;11.41
1130.00;58.00;10.24;11.41
1131.00;57.00;10.33;11.41
1132.00;56.00;10.59;11.41
1133.00;56.00;10.81;11.41
1134.00;57.00;10.40;11.41
1135.00;59.00;10.27;11.41
1136.00;58.00;10.74;11.40
1137.00;57.00;11.15;11.42
1138.00;58.00;11.32;11.42
1139.00;59.00;11.21;11.44
1140.00;59.00;11.32;11.43
1141.00;59.00;11.36;11.43
1142.00;59.00;11.63;11.43
1143.00;59.00;12.05;11.43
1144.00;59.00;12.12;11.43
1145.00;60.00;11.88;11.43
1146.00;61.00;11.54;11.43
1147.00;61.00;11.40;11.43
1148.00;62.00;11.20;11.43
1149.00;63.00;11.11;11.43
1150.00;64.00;11.29;11.43
1151.00;63.00;11.66;11.43
1152.00;66.00;11.56;11.43
1153.00;66.00;11.94;11.43
1154.00;64.00;11.64;11.46
1155.00;64.00;11.71;11.46
1156.00;65.00;11.31;11.46
1157.00;65.00;11.25;11.46
1158.00;65.00;11.40;11.46
1159.00;66.00;11.42;11.46
1160.00;66.00;11.52;11.46
1161.00;66.00;11.56;11.46
1162.00;67.00;11.64;11.46
1163.00;67.00;11.81;11.46
1164.00;65.00;11.70;11.45
1165.00;65.00;11.96;11.45
1166.00;65.00;12.29;11.45
1167.00;65.00;12.01;11.45
1168.00;66.00;11.39;11.45
1169.00;66.00;11.14;11.45
1170.00;66.00;11.13;11.45
1171.00;66.00;11.50;11.45
1172.00;65.00;11.59;11.45
1173.00;65.00;11.41;11.45
1174.00;64.00;11.42;11.44
1175.00;64.00;11.45;11.44
1176.00;64.00;11.56;11.44
1177.00;64.00;11.78;11.44
1178.00;65.00;11.63;11.44
1179.00;66.00;11.58;11.44
1180.00;67.00;11.24;11.44
1181.00;66.00;11.44;11.45
1182.00;64.00;11.28;11.46
1183.00;64.00;11.37;11.46
1184.00;64.00;11.43;11.46
1185.00;65.00;11.20;11.46
1186.00;65.00;11.21;11.46
1187.00;65.00;11.14;11.46
1188.00;64.00;11.04;11.46
1189.00;64.00;10.97;11.46
1190.00;64.00;11.16;11.46
1191.00;64.00;11.47;11.46
1192.00;65.00;11.45;11.46
1193.00;65.00;11.55;11.46
1194.00;64.00;11.66;11.48
1195.00;65.00;11.50;11.48
1196.00;64.00;11.60;11.48
1197.00;64.00;11.81;11.48
1198.00;65.00;11.87;11.48
1199.00;65.00;12.10;11.48
1200.00;65.00;12.03;11.48
1201.00;65.00;12.05;11.48
1202.00;65.00;12.12;11.48
1203.00;65.00;12.06;11.48
1204.00;66.00;12.12;11.48
1205.00;66.00;12.14;11.47
1206.00;67.00;12.35;11.47
1207.00;67.00;12.62;11.47
1208.00;67.00;12.76;11.47
1209.00;66.00;12.38;11.48
1210.00;66.00;12.30;11.48
1211.00;66.00;12.17;11.48
1212.00;66.00;12.08;11.48
1213.00;66.00;11.73;11.48
1214.00;66.00;11.27;11.48
1215.00;64.00;10.91;11.49
1216.00;63.00;10.75;11.52
1217.00;63.00;10.57;11.53
1218.00;63.00;10.89;11.53
1219.00;63.00;10.86;11.52
1220.00;64.00;11.17;11.52
1221.00;64.00;11.49;11.52
1222.00;65.00;11.48;11.52
1223.00;66.00;11.44;11.52
1224.00;66.00;11.40;11.52
1225.00;66.00;11.66;11.52
1226.00;66.00;11.94;11.52
1227.00;67.00;11.55;11.52
1228.00;67.00;11.15;11.52
1229.00;67.00;10.90;11.52
1230.00;67.00;10.60;11.52
1231.00;66.00;10.22;11.52
1232.00;66.00;10.34;11.52
1233.00;65.00;10.33;11.52
1234.00;65.00;10.68;11.52
1235.00;65.00;10.75;11.52
1236.00;65.00;10.56;11.52
1237.00;64.00;10.42;11.51
1238.00;63.00;10.35;11.51
1239.00;65.00;10.16;11.51
1240.00;64.00;10.38;11.51
1241.00;64.00;10.70;11.51
1242.00;62.00;10.89;11.51
1243.00;60.00;11.38;11.51
1244.00;60.00;11.40;11.51
1245.00;60.00;11.60;11.51
1246.00;60.00;11.74;11.51
1247.00;59.00;11.84;11.50
1248.00;59.00;11.88;11.50
1249.00;60.00;11.85;11.50
1250.00;60.00;12.09;11.50
1251.00;60.00;12.22;11.50
1252.00;59.00;12.04;11.50
1253.00;59.00;11.88;11.50
1254.00;59.00;11.87;11.50
1255.00;59.00;12.03;11.50
1256.00;61.00;11.60;11.50
1257.00;61.00;11.69;11.50
1258.00;60.00;11.97;11.49
1259.00;60.00;12.04;11.49
1260.00;60.00;11.99;11.49
1261.00;60.00;11.89;11.49
1262.00;59.00;11.81;11.49
1263.00;59.00;11.74;11.49
1264.00;60.00;11.74;11.49
1265.00;60.00;11.83;11.49
1266.00;60.00;12.05;11.51
1267.00;60.00;12.26;11.51
1268.00;61.00;12.00;11.51
1269.00;61.00;11.44;11.51
1270.00;61.00;11.01;11.51
1271.00;61.00;10.73;11.51
1272.00;61.00;10.88;11.51
1273.00;62.00;10.87;11.51
1274.00;61.00;11.11;11.51
1275.00;62.00;11.14;11.51
1276.00;61.00;11.35;11.51
1277.00;60.00;11.38;11.53
1278.00;60.00;11.11;11.52
1279.00;61.00;11.07;11.52
1280.00;60.00;10.95;11.53
1281.00;59.00;10.97;11.53
1282.00;60.00;10.55;11.53
1283.00;60.00;10.55;11.53
1284.00;59.00;10.64;11.53
1285.00;60.00;10.33;11.53
1286.00;59.00;10.19;11.53
1287.00;59.00;9.49;11.52
1288.00;59.00;9.62;11.52
1289.00;60.00;9.54;11.52
1290.00;61.00;9.60;11.52
1291.00;61.00;10.20;11.52
1292.00;62.00;10.00;11.52
1293.00;62.00;9.74;11.52
1294.00;62.00;9.69;11.52
1295.00;62.00;10.04;11.52
1296.00;62.00;10.17;11.52
1297.00;63.00;10.56;11.52
1298.00;62.00;11.11;11.52
1299.00;61.00;11.34;11.51
1300.00;61.00;11.59;11.51
1301.00;61.00;11.81;11.51
1302.00;60.00;11.76;11.52
1303.00;59.00;11.80;11.51
1304.00;59.00;11.81;11.51
1305.00;58.00;11.58;11.53
1306.00;58.00;11.17;11.53
1307.00;57.00;11.12;11.53
1308.00;58.00;10.86;11.53
1309.00;59.00;10.78;11.53
1310.00;58.00;10.78;11.53
1311.00;58.00;11.02;11.53
1312.00;58.00;11.20;11.53
1313.00;59.00;11.28;11.53
1314.00;60.00;11.08;11.53
1315.00;59.00;10.99;11.53
1316.00;59.00;11.25;11.53
1317.00;61.00;10.69;11.53
1318.00;62.00;10.37;11.53
1319.00;61.00;10.72;11.52
1320.00;61.00;10.83;11.52
1321.00;61.00;10.79;11.52
1322.00;60.00;10.59;11.52
1323.00;60.00;10.34;11.51
1324.00;61.00;10.45;11.51
1325.00;61.00;10.51;11.51
1326.00;61.00;10.75;11.51
1327.00;60.00;10.90;11.51
1328.00;61.00;10.80;11.51
1329.00;62.00;10.53;11.51
1330.00;62.00;10.88;11.51
1331.00;62.00;11.15;11.51
1332.00;62.00;11.24;11.51
1333.00;61.00;10.80;11.51
1334.00;61.00;10.77;11.51
1335.00;60.00;10.64;11.52
1336.00;59.00;10.92;11.51
1337.00;59.00;11.03;11.51
1338.00;59.00;11.09;11.51
1339.00;59.00;11.01;11.51
1340.00;58.00;10.71;11.50
1341.00;58.00;10.56;11.50
1342.00;58.00;10.80;11.50
1343.00;58.00;11.01;11.50
1344.00;58.00;11.25;11.50
1345.00;59.00;11.52;11.50
1346.00;59.00;11.71;11.50
1347.00;60.00;11.76;11.50
1348.00;59.00;11.87;11.50
1349.00;60.00;11.62;11.50
1350.00;58.00;11.12;11.50
1351.00;57.00;10.66;11.49
1352.00;58.00;10.16;11.49
1353.00;59.00;9.83;11.49
1354.00;60.00;9.35;11.49
1355.00;60.00;9.13;11.49
1356.00;59.00;9.72;11.49
1357.00;59.00;10.18;11.49
1358.00;59.00;10.58;11.49
1359.00;59.00;11.13;11.49
1360.00;58.00;11.30;11.50
1361.00;58.00;11.64;11.50
1362.00;57.00;11.74;11.49
1363.00;57.00;11.44;11.49
1364.00;56.00;11.18;11.49
1365.00;57.00;10.85;11.49
1366.00;57.00;10.71;11.49
1367.00;56.00;10.64;11.49
1368.00;56.00;11.01;11.49
1369.00;56.00;11.16;11.49
1370.00;56.00;11.30;11.49
1371.00;57.00;11.23;11.49
1372.00;57.00;11.53;11.49
1373.00;55.00;12.04;11.48
1374.00;56.00;12.14;11.48
1375.00;56.00;12.31;11.48
1376.00;53.00;12.29;11.48
1377.00;52.00;12.51;11.48
1378.00;53.00;12.50;11.48
1379.00;53.00;12.75;11.48
1380.00;52.00;12.77;11.48
1381.00;52.00;12.82;11.48
1382.00;51.00;12.53;11.47
1383.00;52.00;12.10;11.47
1384.00;53.00;11.96;11.47
1385.00;54.00;11.95;11.47
1386.00;54.00;12.14;11.47
1387.00;55.00;11.94;11.47
1388.00;55.00;11.82;11.47
1389.00;55.00;11.53;11.47
1390.00;55.00;11.50;11.47
1391.00;53.00;11.83;11.47
1392.00;55.00;11.93;11.47
1393.00;55.00;12.32;11.47
1394.00;56.00;12.29;11.47
1395.00;56.00;11.94;11.47
1396.00;56.00;11.77;11.47
1397.00;55.00;11.75;11.47
1398.00;55.00;11.63;11.47
1399.00;55.00;11.45;11.47
1400.00;55.00;11.60;11.47
1401.00;55.00;11.62;11.47
1402.00;54.00;11.65;11.47
1403.00;52.00;11.88;11.46
1404.00;51.00;12.35;11.46
1405.00;52.00;12.33;11.46
1406.00;53.00;12.48;11.46
1407.00;53.00;12.96;11.46
1408.00;52.00;13.15;11.46
1409.00;51.00;13.17;11.46
1410.00;53.00;12.57;11.46
1411.00;53.00;12.17;11.46
1412.00;53.00;11.69;11.46
1413.00;55.00;11.02;11.46
1414.00;55.00;10.91;11.46
1415.00;55.00;10.97;11.46
1416.00;54.00;11.21;11.47
1417.00;54.00;11.25;11.47
1418.00;53.00;11.24;11.47
1419.00;53.00;11.29;11.47
1420.00;53.00;11.36;11.47
1421.00;54.00;11.52;11.47
1422.00;54.00;11.54;11.47
1423.00;54.00;11.67;11.47
1424.00;54.00;11.70;11.47
1425.00;53.00;11.93;11.47
1426.00;53.00;11.87;11.47
1427.00;53.00;12.05;11.47
1428.00;53.00;12.22;11.47
1429.00;53.00;12.48;11.47
1430.00;55.00;12.14;11.47
1431.00;54.00;12.36;11.46
1432.00;54.00;12.69;11.46
1433.00;54.00;13.03;11.46
1434.00;54.00;12.89;11.46
1435.00;53.00;12.29;11.46
1436.00;51.00;11.93;11.46
1437.00;51.00;11.88;11.46
1438.00;51.00;11.79;11.46
1439.00;50.00;11.35;11.46
1440.00;50.00;11.07;11.46
1441.00;50.00;10.60;11.46
1442.00;50.00;10.62;11.46
1443.00;50.00;10.71;11.46
1444.00;50.00;11.00;11.46
1445.00;50.00;11.44;11.46
1446.00;50.00;11.98;11.46
1447.00;50.00;12.30;11.46
1448.00;50.00;12.43;11.46
1449.00;50.00;12.30;11.46
1450.00;50.00;11.86;11.46
1451.00;50.00;11.88;11.46
1452.00;50.00;11.57;11.46
1453.00;51.00;11.11;11.46
1454.00;49.00;10.94;11.46
1455.00;49.00;10.77;11.46
1456.00;48.00;10.79;11.46
1457.00;48.00;11.30;11.46
1458.00;48.00;11.66;11.46
1459.00;48.00;12.00;11.46
1460.00;48.00;12.18;11.46
1461.00;46.00;12.25;11.46
1462.00;46.00;11.78;11.46
1463.00;46.00;11.21;11.46
1464.00;45.00;10.93;11.45
1465.00;45.00;10.78;11.45
1466.00;46.00;10.73;11.45
1467.00;47.00;10.62;11.45
1468.00;47.00;11.05;11.45
1469.00;48.00;11.04;11.45
1470.00;48.00;11.36;11.45
1471.00;48.00;11.72;11.45
1472.00;47.00;11.74;11.45
1473.00;47.00;11.90;11.45
1474.00;47.00;11.85;11.45
1475.00;47.00;11.54;11.45
1476.00;46.00;11.48;11.44
1477.00;46.00;11.78;11.44
1478.00;46.00;11.93;11.44
1479.00;46.00;11.97;11.44
1480.00;46.00;11.91;11.44
1481.00;46.00;11.72;11.44
1482.00;46.00;11.70;11.44
1483.00;46.00;11.71;11.44
1484.00;47.00;11.92;11.44
1485.00;47.00;12.03;11.44
1486.00;47.00;12.02;11.44
1487.00;47.00;12.06;11.44
1488.00;47.00;11.76;11.45
1489.00;47.00;11.51;11.45
1490.00;47.00;11.78;11.45
1491.00;47.00;11.96;11.45
1492.00;47.00;11.43;11.44
1493.00;47.00;11.68;11.44
1494.00;46.00;11.72;11.44
1495.00;47.00;11.50;11.44
1496.00;46.00;11.63;11.44
1497.00;46.00;11.70;11.44
1498.00;46.00;11.63;11.44
1499.00;46.00;11.71;11.44
1500.00;46.00;11.75;11.44
1501.00;47.00;11.71;11.44
1502.00;47.00;11.68;11.44
1503.00;46.00;11.70;11.44
1504.00;48.00;11.33;11.44
1505.00;47.00;11.29;11.44
1506.00;46.00;11.15;11.44
1507.00;46.00;11.21;11.44
1508.00;46.00;11.13;11.44
1509.00;46.00;10.95;11.44
1510.00;46.00;11.21;11.44
1511.00;46.00;11.18;11.44
1512.00;46.00;11.02;11.44
1513.00;45.00;11.09;11.44
1514.00;45.00;10.97;11.44
1515.00;46.00;10.62;11.44
1516.00;46.00;10.41;11.44
1517.00;46.00;10.07;11.44
1518.00;46.00;10.24;11.44
1519.00;47.00;10.22;11.44
1520.00;46.00;10.37;11.43
1521.00;47.00;10.14;11.43
1522.00;47.00;10.05;11.43
1523.00;46.00;10.23;11.43
1524.00;46.00;10.46;11.43
1525.00;45.00;10.82;11.43
1526.00;46.00;10.52;11.43
1527.00;46.00;10.54;11.43
1528.00;45.00;10.96;11.42
1529.00;44.00;11.14;11.42
1530.00;45.00;11.09;11.42
1531.00;46.00;11.06;11.42
1532.00;46.00;11.13;11.42
1533.00;44.00;11.40;11.44
1534.00;44.00;11.61;11.44
1535.00;44.00;11.56;11.44
1536.00;44.00;11.23;11.44
1537.00;44.00;11.00;11.44
1538.00;45.00;10.19;11.44
1539.00;46.00;9.65;11.44
1540.00;46.00;9.36;11.44
1541.00;46.00;9.89;11.44
1542.00;45.00;10.10;11.44
1543.00;45.00;10.53;11.44
1544.00;46.00;10.63;11.44
1545.00;46.00;10.89;11.44
1546.00;47.00;10.44;11.44
1547.00;48.00;10.20;11.44
1548.00;48.00;10.27;11.44
1549.00;48.00;10.59;11.44
1550.00;49.00;10.56;11.44
1551.00;50.00;10.79;11.44
1552.00;49.00;11.19;11.46
1553.00;49.00;11.46;11.46
1554.00;48.00;11.55;11.46
1555.00;48.00;11.66;11.46
1556.00;49.00;11.37;11.46
1557.00;49.00;11.50;11.47
1558.00;49.00;11.72;11.47
1559.00;49.00;11.47;11.47
1560.00;49.00;11.55;11.47
1561.00;48.00;11.44;11.47
1562.00;48.00;11.43;11.47
1563.00;48.00;11.89;11.47
1564.00;48.00;12.17;11.47
1565.00;47.00;12.08;11.47
1566.00;46.00;11.87;11.47
1567.00;46.00;11.53;11.47
1568.00;46.00;11.50;11.47
1569.00;46.00;11.48;11.47
1570.00;45.00;11.47;11.46
1571.00;45.00;11.44;11.46
1572.00;45.00;11.58;11.46
1573.00;46.00;11.37;11.46
1574.00;45.00;11.58;11.46
1575.00;45.00;11.65;11.46
1576.00;45.00;12.15;11.46
1577.00;46.00;12.12;11.46
1578.00;45.00;12.41;11.45
1579.00;45.00;12.39;11.45
1580.00;46.00;12.17;11.45
1581.00;48.00;11.63;11.45
1582.00;48.00;11.52;11.45
1583.00;47.00;11.73;11.45
1584.00;47.00;11.90;11.45
1585.00;47.00;12.03;11.45
1586.00;47.00;12.25;11.45
1587.00;46.00;12.03;11.45
1588.00;46.00;12.01;11.45
1589.00;45.00;11.84;11.45
1590.00;45.00;11.81;11.45
1591.00;46.00;11.45;11.45
1592.00;47.00;11.76;11.45
1593.00;47.00;12.34;11.45
1594.00;47.00;12.67;11.45
1595.00;47.00;12.66;11.45
1596.00;47.00;12.57;11.45
1597.00;47.00;12.35;11.45
1598.00;45.00;12.18;11.45
1599.00;44.00;11.71;11.45
1600.00;44.00;11.76;11.45
1601.00;43.00;11.99;11.45
1602.00;44.00;12.01;11.45
1603.00;45.00;11.85;11.45
1604.00;46.00;11.68;11.45
1605.00;46.00;11.56;11.45
1606.00;47.00;11.21;11.45
1607.00;48.00;10.59;11.45
1608.00;49.00;10.31;11.45
1609.00;50.00;10.56;11.45
1610.00;50.00;11.09;11.45
1611.00;49.00;11.53;11.46
1612.00;50.00;11.43;11.46
1613.00;50.00;11.48;11.46
1614.00;50.00;11.59;11.46
1615.00;51.00;11.06;11.46
1616.00;51.00;11.06;11.46
1617.00;53.00;10.37;11.46
1618.00;54.00;10.30;11.46
1619.00;54.00;10.90;11.46
1620.00;54.00;11.29;11.46
1621.00;54.00;11.56;11.46
1622.00;53.00;11.53;11.46
1623.00;52.00;11.34;11.47
1624.00;53.00;11.00;11.47
1625.00;53.00;10.76;11.47
1626.00;53.00;10.92;11.47
1627.00;53.00;10.91;11.47
1628.00;55.00;10.17;11.47
1629.00;55.00;10.10;11.47
1630.00;55.00;10.01;11.47
1631.00;54.00;10.07;11.46
1632.00;54.00;9.94;11.46
1633.00;55.00;9.81;11.46
1634.00;56.00;9.85;11.46
1635.00;56.00;10.38;11.46
1636.00;56.00;10.45;11.46
1637.00;55.00;10.46;11.46
1638.00;55.00;10.71;11.46
1639.00;55.00;11.02;11.46
1640.00;53.00;11.08;11.46
1641.00;53.00;11.37;11.46
1642.00;53.00;11.63;11.46
1643.00;52.00;11.66;11.46
1644.00;51.00;12.13;11.46
1645.00;51.00;12.05;11.46
1646.00;51.00;11.97;11.46
1647.00;52.00;11.43;11.46
1648.00;52.00;11.37;11.46
1649.00;52.00;11.13;11.46
1650.00;52.00;11.39;11.46
1651.00;51.00;11.51;11.46
1652.00;51.00;11.39;11.46
1653.00;50.00;11.30;11.45
1654.00;50.00;11.27;11.45
1655.00;51.00;11.18;11.45
1656.00;49.00;11.53;11.45
1657.00;48.00;11.77;11.45
1658.00;48.00;12.18;11.45
1659.00;47.00;12.47;11.45
1660.00;48.00;12.42;11.45
1661.00;48.00;12.63;11.45
1662.00;48.00;12.56;11.45
1663.00;48.00;12.68;11.45
1664.00;47.00;12.53;11.45
1665.00;47.00;12.40;11.45
1666.00;47.00;12.10;11.45
1667.00;47.00;12.23;11.45
1668.00;47.00;11.91;11.45
1669.00;47.00;11.47;11.45
1670.00;47.00;11.46;11.45
1671.00;48.00;11.39;11.45
1672.00;49.00;11.40;11.45
1673.00;47.00;11.67;11.45
1674.00;45.00;12.10;11.46
1675.00;45.00;12.30;11.46
1676.00;45.00;12.34;11.46
1677.00;45.00;12.10;11.46
1678.00;45.00;11.88;11.46
1679.00;45.00;11.72;11.46
1680.00;44.00;11.78;11.46
1681.00;44.00;12.11;11.46
1682.00;45.00;12.00;11.46
1683.00;45.00;12.08;11.46
1684.00;44.00;11.99;11.46
1685.00;44.00;12.11;11.46
1686.00;44.00;12.32;11.46
1687.00;42.00;12.27;11.47
1688.00;43.00;11.66;11.47
1689.00;42.00;11.32;11.47
1690.00;41.00;11.02;11.47
1691.00;40.00;10.73;11.47
1692.00;40.00;10.66;11.47
1693.00;40.00;10.94;11.47
1694.00;39.00;11.06;11.48
1695.00;39.00;11.74;11.48
1696.00;39.00;11.88;11.48
1697.00;39.00;12.50;11.48
1698.00;39.00;12.70;11.48
1699.00;37.00;12.78;11.48
1700.00;36.00;12.91;11.48
1701.00;36.00;13.27;11.48
1702.00;36.00;13.22;11.48
1703.00;36.00;13.01;11.48
1704.00;35.00;12.85;11.47
